	107
1	2
1921687024	1
22	1
22wip	1
2httpleiningenorg	1
3	1
4	2
5gb	1
a	13
access	1
acts	1
add	1
adjust	1
after	1
again	2
aka	1
all	9
also	2
and	30
ansi	1
any	3
anymore	1
anything	1
apache	1
apachehadoop112	1
apply	1
are	4
around	1
as	8
at	1
avahidaemon	1
available	2
back	1
bandwidth	1
based	2
be	7
between	1
bonjour	1
both	1
box	1
boxhttpvirtualboxorg	1
build	4
builtin	1
but	1
by	2
can	7
cascading	9
cascadinghadoopbase	1
cascaloghttpcascalogorg	2
cascding	1
causes	1
cd	1
change	4
changes	1
clojure	2
clone	2
cloned	1
cluster	20
command	6
community	2
computer	1
configure	1
configured	1
cpus	1
create	1
ctrld	1
daemons	1
data	1
decide	1
define	1
delete	2
deployed	1
deploying	2
destroy	1
directory	3
diskspace	1
distributed	2
do	3
does	1
doing	1
dont	1
down	2
download	4
driver	1
drop	1
dsl	2
each	2
easy	1
else	1
environment	1
etchosts	1
everything	3
exit	1
fails	1
fiddle	1
file	3
files	3
fine	1
first	1
following	1
for	11
format	2
found	1
from	2
fs	1
fully	4
get	1
getting	2
globally	1
goal	2
gradlehttpwwwgradleorg	1
hacking	1
hadoop	13
hadoop1	1
hadoop2	1
hadoop3	1
hadoophttphadoopapacheorg	1
halt	1
hard	1
has	1
have	10
hbase	3
hdfs	1
host	3
httpcscarioniblogspotcouk201209settinguphadoopvirtualclusterwithhtml	1
httpfilesvagrantupcomprecise64box	1
httpmasterlocal50030jobtrackerjsp	1
httpmasterlocal50070dfshealthjsp	1
i	1
if	8
in	15
include	1
included	2
includes	1
install	1
installed	3
interact	1
interacting	1
into	4
ip	1
is	16
it	7
its	2
itself	1
jdbc	1
job	1
jobtracker	2
just	1
keep	1
large	1
later	1
learning	1
leiningen	1
like	1
limit	1
line	4
lingualhttpwwwcascadingorglingual	1
linux	1
little	1
load	1
loadhttpwwwcascadingorgload	1
local	2
log	2
ls	1
mac	1
machine	4
machines	4
make	2
managing	1
many	1
map	1
master	14
means	2
modules	1
modulesavahifilehosts	1
much	1
multitoolhttpwwwcascadingorgmultitool	1
name	4
namenode	3
namesips	1
need	1
network	1
never	1
new	2
no	1
node	1
nodes	1
nor	1
not	3
of	9
on	7
once	2
one	1
only	3
optcascadingsdk	1
opthadoop112	1
opthbase09410bin	1
or	1
order	2
other	3
others	1
over	2
overload	1
own	1
parts	1
patches	3
path	2
patternhttpwwwcascadingorgpattern	1
performance	1
platform	1
popular	2
possible	1
preinstalled	1
problems	1
project	2
projects	1
provision	2
provisioned	1
provisioner	1
puppet	3
puppethttppuppetlabscom	1
put	1
ram	1
reason	1
reduce	1
related	1
remember	1
repository	1
required	1
rerun	1
resolution	3
reuse	1
rid	1
root	2
rootagain	1
run	3
running	4
save	1
sbthttpwwwscalasbtorg	1
scala	2
scaldinghttpsgithubcomtwitterscalding	1
scaldinghttpsgithubcomtwitterscaldingwiki	1
sdk	8
sdkhttpcascadingorgsdk	1
sdkhttpwwwcascadingorgsdk	1
services	1
set	1
setup	2
shell	2
should	1
shut	2
simplicity	1
simply	3
since	2
so	1
some	1
something	1
sql	1
ssh	5
sshintoalltheboxesandstartthingsupapproach	1
start	3
startallsh	2
started	2
starthbasesh	1
starting	1
stay	1
stop	1
stopallsh	1
stopping	1
store	1
subprojects	1
sudo	5
superfast	1
supports	1
sure	1
system	1
tarball	1
task	3
tasktracker	1
tell	1
testers	1
testing	3
than	1
that	4
the	59
them	2
then	1
there	1
this	15
time	2
tm	1
to	20
too	1
tool	5
tools	3
trackers	1
troubleshooting	2
try	1
tutorial	2
two	1
under	2
untouched	1
up	5
use	3
used	6
user	1
uses	2
using	2
vagrant	15
vagrantfile	2
vagranthttpvagrantupcom	1
vagrants	1
version	1
virtual	1
virtualized	1
vms	4
want	4
way	2
we	1
webinterface	2
welcome	3
well	2
when	1
which	4
while	1
will	10
windows	2
wishlist	1
with	5
witouth	1
work	2
working	2
works	3
you	14
your	9
zeroconfhttpenwikipediaorgwikizeroconfigurationnetworking	1
